dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	272	288	304	320	336	352	368	384	400	416	432	448	464	480	496	512
16	5532	12936	15598	16821	17930	19028	19261	20006	21398	20610	18776	19770	19498	19683	19709	19561	20045	19596	19668	19808	19229	19780	19257	19213	19056	19361	19403	19055	19098	19214	19361	19152
32	19354	19260	19133	18796	18836	19191	18928	19232	19040	19056	19056	19360	20351	19650	19541	19452	19651	19555	19621	19412	19351	19460	19947	20209	19177	19454	19947	19315	19258	19361	19551	19142
48	19218	19952	19049	18842	18913	19103	18938	18944	18993	19091	19132	19260	19279	19398	20979	19942	19706	19674	19896	19482	19352	19895	19192	19130	19216	19066	19164	19120	19037	19156	19223	19206
64	18971	18966	18667	18680	18781	19175	18809	18745	18668	18819	18738	18962	18923	19053	19127	19169	19236	19117	19070	19018	18915	19061	18956	18829	18865	18831	18868	18828	18820	18847	18809	18921
80	18390	18271	18122	17971	18078	18057	18221	18086	18230	18148	18140	18254	18304	18273	18430	18451	18601	18561	18472	18337	18313	18243	18146	18379	18178	18120	18070	18076	17989	18102	18034	18144
96	18296	18203	18143	17941	17923	17977	18004	18031	18088	17968	17986	18093	18091	18256	18312	18463	18173	18235	18468	18133	18068	18374	18947	18063	17958	18148	17967	17949	17975	17959	18030	17972
112	17962	17847	17816	17649	17657	17658	17687	17777	17739	17731	17889	17761	18059	17852	17779	17875	17864	17777	17922	17797	17726	17586	17735	17668	17652	17645	17607	18617	17641	17721	17705	17608
128	17774	17590	17459	17532	18019	17637	17584	17613	17598	17575	17586	17572	17540	17690	17604	17517	17479	17469	18666	17256	17431	17500	17523	17433	17361	17405	17364	17393	17387	17393	17661	17411
144	18681	17744	17856	18261	18027	18496	18210	18101	18019	17973	18304	17893	17894	17783	17986	17961	17609	17868	17577	17531	18053	19281	18129	17904	17859	17557	17690	17977	17680	18094	17737	17637
160	16573	16625	16184	16069	16100	15951	16695	16835	16113	16167	16108	16805	16061	17938	16552	16223	16632	16509	16788	16737	16184	16058	17459	15833	15973	15825	15853	16028	15984	15793	15962	16597
176	17011	15961	15712	15824	15811	15796	15923	15757	15717	15717	15681	15716	15706	15715	16053	16064	15738	15726	15623	15542	15543	15534	15489	15520	15532	15439	15691	15435	15421	15461	15517	15509
192	15813	15731	15440	15468	15529	15511	15527	15487	15456	15431	15436	15422	15585	15362	15372	15589	15337	15310	15201	15164	15190	15244	15286	15230	15188	15908	15183	15191	15187	15166	15183	15218
208	15553	15352	15353	15335	15689	15371	15280	15233	15415	15309	15234	15203	15637	15189	15078	15056	15000	15030	14943	15011	14948	14918	15058	15075	15098	14966	14950	14941	15073	14959	14941	14954
224	15330	15233	14961	15005	15139	15034	15049	15070	15014	15004	15164	14929	15794	14867	14824	14813	14966	14710	14712	14840	14671	14737	14688	14683	14654	14697	14673	14684	14699	14752	14859	14881
240	15197	14913	14728	14783	16617	14821	14811	14817	14793	14744	14812	14882	15562	14649	14600	14566	14635	14498	14627	14460	14585	14483	14403	14436	14454	14583	14565	14514	14438	15054	14705	14541
256	15087	14750	14545	14531	14604	14614	14583	14551	14530	14607	14472	14476	14433	14430	16202	14352	14836	14257	14181	14231	14223	14202	14176	14174	14217	14169	14237	14215	14244	14268	14767	15714
272	15430	14406	14400	14735	15026	14434	14475	14454	14752	15013	14303	14198	14249	14273	14124	13984	14027	14004	13975	14150	13943	14044	14345	14824	13982	14020	14015	14001	14034	14658	14129	13947
288	14511	14295	14240	14213	14269	14257	14324	15602	14274	14380	14143	14092	14182	13998	13995	14355	13910	13904	13872	13785	15846	15117	13904	13909	13839	13891	13892	13919	13836	13861	14761	14916
304	14647	14484	14315	14447	14410	16083	15951	14320	14307	14230	15861	14189	14197	14066	14045	14137	14305	13956	14446	14630	14050	13960	14086	14016	13952	14013	13972	13988	13963	13976	14355	14038
320	14349	14164	14089	14130	14205	14155	14158	14105	14028	17832	14123	13869	14013	13856	13795	13732	13697	13768	15777	14242	13635	14683	13772	13702	13934	13877	13766	13752	13807	13782	13763	13917
336	14250	15004	13991	14052	14606	14085	14009	13978	13895	13916	13779	13771	13705	13648	14906	13635	13527	13486	13522	13550	13545	13681	13619	14116	13577	13567	13568	13640	13601	13550	13980	18703
352	14088	14155	14061	14162	14279	13920	13890	13787	13750	13741	13761	16815	13720	13604	13375	13520	13440	13436	15700	13354	15618	13713	14281	13501	15726	13488	13463	13431	13507	13512	13438	13486
368	14010	14788	13776	13773	13792	14126	14008	15808	14269	13653	13572	13484	13487	13425	14836	15368	14923	13293	13409	13301	13302	13282	13255	15442	13367	13301	13295	13375	13350	13303	13357	13378
384	16061	14019	13712	14396	13688	13715	13676	13788	13548	13555	14358	14075	13832	13481	13467	13280	13181	14336	13486	13308	13288	13283	14155	13527	13249	13269	13268	13327	13275	13276	13281	13255
400	13864	13654	14030	13805	15535	13695	16930	13636	13415	13561	14626	13742	13394	13497	13259	13539	13125	13223	13209	13165	13336	13504	13292	14172	13201	13361	13315	13377	13184	15182	13627	14071
416	13873	13728	13559	13591	13604	13696	13497	13861	13456	13459	13336	13337	13275	13242	13186	17167	14903	13433	12948	13133	13209	13325	13130	13129	13141	13432	13123	13137	13099	13130	13132	13126
432	13983	15288	14724	13563	13549	13618	13797	13481	13550	13287	13580	14097	13279	13240	13095	13143	13059	13091	13072	13036	13046	13066	13058	14573	14036	13153	13092	13110	14311	13178	13601	13296
448	14097	14631	13538	13585	15309	13638	13588	13335	13394	13320	13337	13226	13245	13774	13189	13047	13053	13045	13743	13148	13040	13137	13174	13151	13057	13090	13084	13032	13128	13041	13035	13104
464	14054	14304	13687	13747	13716	14049	13551	14862	13541	13526	13583	13374	13895	13232	13284	13193	13245	13157	13192	13182	13296	13125	13824	13267	13317	14257	13195	13250	13219	13106	13214	13342
480	13786	13547	13459	13627	13426	13504	15649	15937	13309	13235	13158	13096	13044	13061	13070	13387	13661	13000	12922	13007	13035	13109	12938	12981	13044	12957	13575	13023	12903	12976	12983	12972
496	13630	13486	14130	13553	13526	13380	13290	13284	13259	13189	13170	13041	16359	13077	13158	12960	12853	13035	12869	12902	12950	12923	12931	12909	12854	12885	12907	12944	12958	12927	12980	14295
512	13899	13556	13532	13618	13698	13975	14002	14355	14451	13767	13173	13124	13109	13073	12976	14412	12920	12930	14147	14323	14520	12917	12920	14092	12969	13765	13009	12922	13037	12973	13590	14130